"Country or Area","Year","Value"
"European Union","2006","531707.940879268"
"European Union","2005","543442.470359115"
"European Union","2004","555673.072414182"
"European Union","2003","575051.654505593"
"European Union","2002","586079.497621722"
"European Union","2001","600252.512233256"
"European Union","2000","609440.975898133"
"European Union","1999","622775.452019011"
"European Union","1998","634900.160179924"
"European Union","1997","651528.738611337"
"European Union","1996","665079.336732812"
"European Union","1995","668698.051516691"
"European Union","1994","669301.26346178"
"European Union","1993","686376.82193796"
"European Union","1992","695017.254202625"
"European Union","1991","715378.704916053"
"European Union","1990","734491.057033518"
"Finland","2014","5016.97475927124"
"Finland","2013","5122.63476634708"
"Finland","2012","5264.87608155703"
"Finland","2011","5306.52535118825"
"Finland","2010","5487.22228155129"
"Finland","2009","5404.95544159765"
"Finland","2008","5460.81837555993"
"Finland","2007","5591.48730557558"
"Finland","2006","5731.23824153894"
"Finland","2005","5659.29231113621"
"Finland","2004","5907.35786486111"
"Finland","2003","6092.65311451928"
"Finland","2002","6301.45349814581"
"Finland","2001","6519.02653867057"
"Finland","2000","6661.09848014005"
"Finland","1999","6911.88870684184"
"Finland","1998","7062.38153640282"
"Finland","1997","7308.33510699067"
"Finland","1996","7392.08120336162"
"Finland","1995","7469.55919015096"
"Finland","1994","7674.10373712289"
"Finland","1993","7707.9832414101"
"Finland","1992","7669.45024354611"
"Finland","1991","7714.30236241026"
"Finland","1990","7744.71648814565"
"France","2014","59761.9528472267"
"France","2013","59044.2244613822"
"France","2012","60127.5132193103"
"France","2011","61629.4557619662"
"France","2010","62525.8673176549"
"France","2009","62891.0095101663"
"France","2008","64028.1148182801"
"France","2007","63982.0876839439"
"France","2006","64334.0646145919"
"France","2005","64648.9662937465"
"France","2004","65595.1706935046"
"France","2003","67193.6740593953"
"France","2002","68554.5511011781"
"France","2001","69813.1366322753"
"France","2000","70804.6629751047"
"France","1999","69712.1789585953"
"France","1998","69651.4999955398"
"France","1997","69337.9969309813"
"France","1996","70531.7294337273"
"France","1995","71037.5972489191"
"France","1994","70218.6948335419"
"France","1993","70105.2675441496"
"France","1992","69655.999402699"
"France","1991","69716.5189421919"
"France","1990","68916.2451844809"
"Germany","2014","55527.8634424139"
"Germany","2013","56975.0838315538"
"Germany","2012","57647.4129377664"
"Germany","2011","56966.4720171698"
"Germany","2010","58092.1746036375"
"Germany","2009","58947.976950009"
"Germany","2008","61206.5919907347"
"Germany","2007","62176.4396182939"
"Germany","2006","64446.0125643471"
"Germany","2005","68393.115093358"
"Germany","2004","71621.0265587495"
"Germany","2003","76675.5132245103"
"Germany","2002","80070.7211145719"
"Germany","2001","83997.3104199"
"Germany","2000","87647.831055257"
"Germany","1999","91950.884989181"
"Germany","1998","92582.8263981802"
"Germany","1997","97821.4079091795"
"Germany","1996","102065.899968129"
"Germany","1995","104722.349111503"
"Germany","1994","106948.196214421"
"Germany","1993","110830.331560082"
"Germany","1992","110261.119707033"
"Germany","1991","113697.661601505"
"Germany","1990","119234.769548572"
"Greece","2014","11086.1359200325"
"Greece","2013","11155.0325268011"
"Greece","2012","11249.2097049828"
"Greece","2011","11378.9058333308"
"Greece","2010","11540.6404313943"
"Greece","2009","11340.9690478372"
"Greece","2008","11496.7293651832"
"Greece","2007","11542.2810575399"
"Greece","2006","11739.036949799"
"Greece","2005","11646.3345602405"
"Greece","2004","11640.4033662938"
"Greece","2003","11651.6730121343"
"Greece","2002","11754.7634307252"
"Greece","2001","11764.2791122408"
"Greece","2000","12816.9911994903"
"Greece","1999","13048.393384033"
"Greece","1998","13077.547365796"
"Greece","1997","12860.5150592604"
"Greece","1996","12984.3026861401"
"Greece","1995","12830.0078211275"
"Greece","1994","12710.7969355586"
"Greece","1993","12589.3614976901"
"Greece","1992","12598.7072283314"
"Greece","1991","12513.6486135472"
"Greece","1990","12534.1245971224"
"Hungary","2014","7613.96898517364"
"Hungary","2013","7618.50037046322"
"Hungary","2012","7824.92080876326"
"Hungary","2011","7821.16627134829"
"Hungary","2010","8036.88485856424"
"Hungary","2009","8090.37983725947"
"Hungary","2008","8251.38147841946"
"Hungary","2007","8307.57942063685"
"Hungary","2006","8350.81925965161"
"Hungary","2005","8443.37560580961"
"Hungary","2004","8603.56236475025"
"Hungary","2003","9131.88807344021"
"Hungary","2002","9011.49654010019"
"Hungary","2001","8897.43012339844"
"Hungary","2000","8957.81834187386"
"Hungary","1999","8998.22978445531"
"Hungary","1998","8933.20819016801"
"Hungary","1997","9026.81757363921"
"Hungary","1996","9165.18686943856"
"Hungary","1995","9034.22661974485"
"Hungary","1994","9389.62326133879"
"Hungary","1993","9872.85733548455"
"Hungary","1992","10397.6966584347"
"Hungary","1991","11674.0240070414"
"Hungary","1990","11967.2425194782"
"Iceland","2014","592.490097771568"
"Iceland","2013","546.326289750485"
"Iceland","2012","545.986934743431"
"Iceland","2011","565.841700268254"
"Iceland","2010","583.726825693513"
"Iceland","2009","583.347081095975"
"Iceland","2008","586.608688711014"
"Iceland","2007","591.161640049857"
"Iceland","2006","589.048342642654"
"Iceland","2005","561.803561420248"
"Iceland","2004","566.075195778504"
"Iceland","2003","564.314880165058"
"Iceland","2002","566.717838493313"
"Iceland","2001","570.077976632161"
"Iceland","2000","558.843790318998"
"Iceland","1999","566.017907213725"
"Iceland","1998","560.855414397848"
"Iceland","1997","548.487618181255"
"Iceland","1996","548.365598128893"
"Iceland","1995","540.029936360099"
"Iceland","1994","543.438194954868"
"Iceland","1993","532.44604072678"
"Iceland","1992","522.840391711536"
"Iceland","1991","516.622937656656"
"Iceland","1990","521.754007975608"
"Ireland","2014","13433.3537485563"
"Ireland","2013","13224.5004360501"
"Ireland","2012","12891.0378919229"
"Ireland","2011","12594.3956182384"
"Ireland","2010","12632.7938618075"
"Ireland","2009","12870.7448590899"
"Ireland","2008","13206.6583127526"
"Ireland","2007","13363.2696736717"
"Ireland","2006","13992.2282630042"
"Ireland","2005","13980.9114900362"
"Ireland","2004","14248.8484604593"
"Ireland","2003","15178.8735598674"
"Ireland","2002","14525.9879348916"
"Ireland","2001","14585.9758649374"
"Ireland","2000","14532.2025177425"
"Ireland","1999","15104.358411834"
"Ireland","1998","15593.8882772154"
"Ireland","1997","15348.9427625121"
"Ireland","1996","15369.9949793376"
"Ireland","1995","15129.7925232797"
"Ireland","1994","15111.276023595"
"Ireland","1993","15185.062007503"
"Ireland","1992","15172.9904306476"
"Ireland","1991","15060.9463728375"
"Ireland","1990","14881.8267322304"
"Italy","2014","43252.0281137566"
"Italy","2013","44074.4060266239"
"Italy","2012","46521.3334043081"
"Italy","2011","46314.0052529268"
"Italy","2010","47942.2582321725"
"Italy","2009","48435.6439713659"
"Italy","2008","49053.2980477557"
"Italy","2007","49560.5043849069"
"Italy","2006","49344.3616410495"
"Italy","2005","50821.1119885594"
"Italy","2004","50476.1196194394"
"Italy","2003","52723.3992636202"
"Italy","2002","53345.4685247307"
"Italy","2001","55366.385563849"
"Italy","2000","55514.8052878267"
"Italy","1999","55371.7154790509"
"Italy","1998","55449.6937982996"
"Italy","1997","55889.9048270693"
"Italy","1996","55293.8708922891"
"Italy","1995","54531.9581289499"
"Italy","1994","53920.3139635746"
"Italy","1993","53531.2373140554"
"Italy","1992","53903.3305059745"
"Italy","1991","55829.6777542009"
"Italy","1990","54530.7700217967"
"Japan","2014","35481.8654615459"
"Japan","2013","36065.6870031811"
"Japan","2012","36452.8171644772"
"Japan","2011","37281.6961298776"
"Japan","2010","38272.2554555355"
"Japan","2009","37169.9662038379"
"Japan","2008","38239.0452791275"
"Japan","2007","38451.2188340267"
"Japan","2006","38194.7591155809"
"Japan","2005","38938.2198407023"
"Japan","2004","39000.2112346486"
"Japan","2003","37561.2962610553"
"Japan","2002","39471.6008685318"
"Japan","2001","40248.0449840683"
